thisProcessorNumber 94 out of 120
line 1000, partTime 2246, wholeTime 2246
line 82000, partTime 62868, wholeTime 4039408
line 83000, partTime 37315, wholeTime 4076723
line 84000, partTime 55598, wholeTime 4132322
line 85000, partTime 21169, wholeTime 4153491
line 86000, partTime 57033, wholeTime 4210525
line 87000, partTime 27674, wholeTime 4238199
line 88000, partTime 47814, wholeTime 4286013
line 89000, partTime 29733, wholeTime 4315747
line 90000, partTime 23790, wholeTime 4339537
line 91000, partTime 58484, wholeTime 4398022
line 92000, partTime 35053, wholeTime 4433075
line 93000, partTime 50122, wholeTime 4483198
line 94000, partTime 33165, wholeTime 4516363
line 95000, partTime 25693, wholeTime 4542057
line 96000, partTime 19016, wholeTime 4561073
line 97000, partTime 16395, wholeTime 4577469
line 98000, partTime 37003, wholeTime 4614472
line 99000, partTime 14430, wholeTime 4628902
line 100000, partTime 10140, wholeTime 4639042
line 101000, partTime 42088, wholeTime 4681131
line 102000, partTime 77376, wholeTime 4758507
line 103000, partTime 79357, wholeTime 4837864
line 104000, partTime 26925, wholeTime 4864790
line 105000, partTime 99169, wholeTime 4963959
line 106000, partTime 10342, wholeTime 4974302
line 107000, partTime 30966, wholeTime 5005268
line 108000, partTime 7753, wholeTime 5013022
line 109000, partTime 34054, wholeTime 5047076
line 110000, partTime 15256, wholeTime 5062333
line 111000, partTime 49249, wholeTime 5111582
line 112000, partTime 23602, wholeTime 5135185
line 113000, partTime 11232, wholeTime 5146417
line 114000, partTime 20623, wholeTime 5167041
line 115000, partTime 6318, wholeTime 5173359
line 116000, partTime 34710, wholeTime 5208069
line 117000, partTime 26364, wholeTime 5234433
line 118000, partTime 34335, wholeTime 5268768
line 119000, partTime 13416, wholeTime 5282184
line 120000, partTime 29577, wholeTime 5311762
line 121000, partTime 5756, wholeTime 5317518
line 122000, partTime 17550, wholeTime 5335068
line 123000, partTime 1528, wholeTime 5336597
line 124000, partTime 10764, wholeTime 5347361
line 125000, partTime 7519, wholeTime 5354881
line 126000, partTime 3790, wholeTime 5358671
line 127000, partTime 7238, wholeTime 5365910
line 128000, partTime 17222, wholeTime 5383132
line 129000, partTime 327, wholeTime 5383460
line 130000, partTime 1185, wholeTime 5384645
line 131000, partTime 156, wholeTime 5384801
line 131328, partTime 62, wholeTime 5384864
Lines checked 1094
Paths count 15471356
Colors used 8
