thisProcessorNumber 82 out of 120
line 1000, partTime 7171, wholeTime 7171
line 61000, partTime 62750, wholeTime 6489843
line 62000, partTime 33203, wholeTime 6523046
line 63000, partTime 72234, wholeTime 6595281
line 64000, partTime 177078, wholeTime 6772359
line 65000, partTime 128578, wholeTime 6900937
line 66000, partTime 245781, wholeTime 7146718
line 67000, partTime 47562, wholeTime 7194281
line 68000, partTime 12750, wholeTime 7207031
line 69000, partTime 89500, wholeTime 7296531
line 70000, partTime 55406, wholeTime 7351937
line 71000, partTime 24437, wholeTime 7376375
line 72000, partTime 12250, wholeTime 7388625
line 73000, partTime 19515, wholeTime 7408140
line 74000, partTime 7640, wholeTime 7415781
line 75000, partTime 801625, wholeTime 8217406
line 76000, partTime 517468, wholeTime 8734875
line 77000, partTime 114031, wholeTime 8848906
line 78000, partTime 189859, wholeTime 9038765
line 79000, partTime 218828, wholeTime 9257593
line 80000, partTime 42671, wholeTime 9300265
line 81000, partTime 256750, wholeTime 9557015
line 82000, partTime 167812, wholeTime 9724828
line 83000, partTime 255765, wholeTime 9980593
line 84000, partTime 91390, wholeTime 10071984
line 85000, partTime 40328, wholeTime 10112312
line 86000, partTime 70640, wholeTime 10182953
line 87000, partTime 141078, wholeTime 10324031
line 88000, partTime 183984, wholeTime 10508015
line 89000, partTime 213609, wholeTime 10721625
line 90000, partTime 55375, wholeTime 10777000
line 91000, partTime 73515, wholeTime 10850515
line 92000, partTime 58718, wholeTime 10909234
line 93000, partTime 37125, wholeTime 10946359
line 94000, partTime 166156, wholeTime 11112515
line 95000, partTime 50671, wholeTime 11163187
line 96000, partTime 117484, wholeTime 11280671
line 97000, partTime 14093, wholeTime 11294765
line 98000, partTime 80234, wholeTime 11375000
line 99000, partTime 15875, wholeTime 11390875
line 100000, partTime 13125, wholeTime 11404000
line 101000, partTime 263890, wholeTime 11667890
line 102000, partTime 134562, wholeTime 11802453
line 103000, partTime 316671, wholeTime 12119125
line 104000, partTime 53640, wholeTime 12172765
line 105000, partTime 135703, wholeTime 12308468
line 106000, partTime 62453, wholeTime 12370921
line 107000, partTime 18031, wholeTime 12388953
line 108000, partTime 72546, wholeTime 12461500
line 109000, partTime 139421, wholeTime 12600921
line 110000, partTime 29515, wholeTime 12630437
line 111000, partTime 60421, wholeTime 12690859
line 112000, partTime 10921, wholeTime 12701781
line 113000, partTime 9890, wholeTime 12711671
line 114000, partTime 8968, wholeTime 12720640
line 115000, partTime 20015, wholeTime 12740656
line 116000, partTime 152281, wholeTime 12892937
line 117000, partTime 50734, wholeTime 12943671
line 118000, partTime 62046, wholeTime 13005718
line 119000, partTime 16515, wholeTime 13022234
line 120000, partTime 23687, wholeTime 13045921
line 121000, partTime 28859, wholeTime 13074781
line 122000, partTime 14468, wholeTime 13089250
line 123000, partTime 6765, wholeTime 13096015
line 124000, partTime 59343, wholeTime 13155359
line 125000, partTime 12609, wholeTime 13167968
line 126000, partTime 21390, wholeTime 13189359
line 127000, partTime 890, wholeTime 13190250
line 128000, partTime 1125, wholeTime 13191375
line 129000, partTime 1812, wholeTime 13193187
line 130000, partTime 1984, wholeTime 13195171
line 131000, partTime 437, wholeTime 13195609
line 131328, partTime 109, wholeTime 13195718
Lines checked 1094
Paths count 15268241
Colors used 8
