thisProcessorNumber 72 out of 120
line 1000, partTime 3651, wholeTime 3651
line 63000, partTime 66254, wholeTime 2991204
line 64000, partTime 14404, wholeTime 3005608
line 65000, partTime 29149, wholeTime 3034757
line 66000, partTime 70769, wholeTime 3105526
line 67000, partTime 4252, wholeTime 3109779
line 68000, partTime 10025, wholeTime 3119804
line 69000, partTime 36689, wholeTime 3156494
line 70000, partTime 16894, wholeTime 3173388
line 71000, partTime 10963, wholeTime 3184351
line 72000, partTime 19047, wholeTime 3203398
line 73000, partTime 5165, wholeTime 3208564
line 74000, partTime 82079, wholeTime 3290643
line 75000, partTime 256418, wholeTime 3547061
line 76000, partTime 108500, wholeTime 3655562
line 77000, partTime 96143, wholeTime 3751706
line 78000, partTime 182299, wholeTime 3934006
line 79000, partTime 112632, wholeTime 4046638
line 80000, partTime 24227, wholeTime 4070866
line 81000, partTime 87816, wholeTime 4158683
line 82000, partTime 78417, wholeTime 4237100
line 83000, partTime 32986, wholeTime 4270086
line 84000, partTime 67391, wholeTime 4337478
line 85000, partTime 18514, wholeTime 4355992
line 86000, partTime 27115, wholeTime 4383108
line 87000, partTime 64735, wholeTime 4447843
line 88000, partTime 140798, wholeTime 4588642
line 89000, partTime 48671, wholeTime 4637314
line 90000, partTime 34470, wholeTime 4671784
line 91000, partTime 48738, wholeTime 4720522
line 92000, partTime 51740, wholeTime 4772262
line 93000, partTime 18636, wholeTime 4790898
line 94000, partTime 69309, wholeTime 4860208
line 95000, partTime 17465, wholeTime 4877673
line 96000, partTime 24505, wholeTime 4902179
line 97000, partTime 9185, wholeTime 4911365
line 98000, partTime 14632, wholeTime 4925997
line 99000, partTime 3443, wholeTime 4929440
line 100000, partTime 8655, wholeTime 4938095
line 101000, partTime 222194, wholeTime 5160289
line 102000, partTime 45716, wholeTime 5206006
line 103000, partTime 76882, wholeTime 5282888
line 104000, partTime 22375, wholeTime 5305263
line 105000, partTime 84611, wholeTime 5389874
line 106000, partTime 36105, wholeTime 5425979
line 107000, partTime 11329, wholeTime 5437309
line 108000, partTime 25353, wholeTime 5462662
line 109000, partTime 55356, wholeTime 5518019
line 110000, partTime 18259, wholeTime 5536279
line 111000, partTime 13809, wholeTime 5550088
line 112000, partTime 33390, wholeTime 5583478
line 113000, partTime 10744, wholeTime 5594223
line 114000, partTime 2835, wholeTime 5597058
line 115000, partTime 1196, wholeTime 5598255
line 116000, partTime 53863, wholeTime 5652119
line 117000, partTime 21107, wholeTime 5673226
line 118000, partTime 18657, wholeTime 5691883
line 119000, partTime 17530, wholeTime 5709413
line 120000, partTime 12324, wholeTime 5721737
line 121000, partTime 29423, wholeTime 5751160
line 122000, partTime 6380, wholeTime 5757540
line 123000, partTime 540, wholeTime 5758080
line 124000, partTime 30295, wholeTime 5788376
line 125000, partTime 17253, wholeTime 5805629
line 126000, partTime 4884, wholeTime 5810514
line 127000, partTime 3272, wholeTime 5813786
line 128000, partTime 3471, wholeTime 5817257
line 129000, partTime 433, wholeTime 5817691
line 130000, partTime 339, wholeTime 5818031
line 131000, partTime 178, wholeTime 5818209
line 131328, partTime 45, wholeTime 5818255
Lines checked 1094
Paths count 16007728
Colors used 8
