thisProcessorNumber 69 out of 120
line 1000, partTime 3811, wholeTime 3811
line 49000, partTime 42816, wholeTime 2443613
line 50000, partTime 38496, wholeTime 2482110
line 51000, partTime 22082, wholeTime 2504192
line 52000, partTime 102325, wholeTime 2606518
line 53000, partTime 96795, wholeTime 2703313
line 54000, partTime 126063, wholeTime 2829377
line 55000, partTime 111923, wholeTime 2941300
line 56000, partTime 55771, wholeTime 2997071
line 57000, partTime 56669, wholeTime 3053740
line 58000, partTime 21588, wholeTime 3075329
line 59000, partTime 58320, wholeTime 3133650
line 60000, partTime 62040, wholeTime 3195690
line 61000, partTime 14024, wholeTime 3209714
line 62000, partTime 22683, wholeTime 3232397
line 63000, partTime 53940, wholeTime 3286338
line 64000, partTime 17549, wholeTime 3303888
line 65000, partTime 9210, wholeTime 3313098
line 66000, partTime 49313, wholeTime 3362412
line 67000, partTime 3448, wholeTime 3365861
line 68000, partTime 14454, wholeTime 3380315
line 69000, partTime 49623, wholeTime 3429939
line 70000, partTime 16814, wholeTime 3446753
line 71000, partTime 23885, wholeTime 3470638
line 72000, partTime 22359, wholeTime 3492997
line 73000, partTime 4017, wholeTime 3497015
line 74000, partTime 87933, wholeTime 3584948
line 75000, partTime 210424, wholeTime 3795373
line 76000, partTime 121809, wholeTime 3917183
line 77000, partTime 131904, wholeTime 4049087
line 78000, partTime 220049, wholeTime 4269136
line 79000, partTime 19366, wholeTime 4288502
line 80000, partTime 64305, wholeTime 4352807
line 81000, partTime 136972, wholeTime 4489780
line 82000, partTime 48103, wholeTime 4537883
line 83000, partTime 49591, wholeTime 4587475
line 84000, partTime 74395, wholeTime 4661871
line 85000, partTime 36711, wholeTime 4698583
line 86000, partTime 29450, wholeTime 4728033
line 87000, partTime 39018, wholeTime 4767051
line 88000, partTime 152486, wholeTime 4919538
line 89000, partTime 48619, wholeTime 4968158
line 90000, partTime 63619, wholeTime 5031778
line 91000, partTime 87349, wholeTime 5119127
line 92000, partTime 15107, wholeTime 5134234
line 93000, partTime 19360, wholeTime 5153595
line 94000, partTime 68443, wholeTime 5222039
line 95000, partTime 36087, wholeTime 5258126
line 96000, partTime 28652, wholeTime 5286779
line 97000, partTime 11059, wholeTime 5297838
line 98000, partTime 23460, wholeTime 5321298
line 99000, partTime 1012, wholeTime 5322311
line 100000, partTime 6357, wholeTime 5328668
line 101000, partTime 120043, wholeTime 5448711
line 102000, partTime 71433, wholeTime 5520145
line 103000, partTime 78252, wholeTime 5598398
line 104000, partTime 30631, wholeTime 5629029
line 105000, partTime 120980, wholeTime 5750010
line 106000, partTime 29420, wholeTime 5779430
line 107000, partTime 25465, wholeTime 5804895
line 108000, partTime 26566, wholeTime 5831462
line 109000, partTime 44249, wholeTime 5875711
line 110000, partTime 11060, wholeTime 5886771
line 111000, partTime 19408, wholeTime 5906179
line 112000, partTime 35392, wholeTime 5941572
line 113000, partTime 38005, wholeTime 5979577
line 114000, partTime 264, wholeTime 5979841
line 115000, partTime 2309, wholeTime 5982150
line 116000, partTime 39316, wholeTime 6021466
line 117000, partTime 29979, wholeTime 6051445
line 118000, partTime 19530, wholeTime 6070975
line 119000, partTime 14699, wholeTime 6085675
line 120000, partTime 53479, wholeTime 6139154
line 121000, partTime 7670, wholeTime 6146824
line 122000, partTime 2610, wholeTime 6149434
line 123000, partTime 4997, wholeTime 6154431
line 124000, partTime 16244, wholeTime 6170675
line 125000, partTime 10170, wholeTime 6180846
line 126000, partTime 5454, wholeTime 6186300
line 127000, partTime 5143, wholeTime 6191443
line 128000, partTime 8763, wholeTime 6200207
line 129000, partTime 3777, wholeTime 6203985
line 130000, partTime 242, wholeTime 6204227
line 131000, partTime 200, wholeTime 6204427
line 131328, partTime 40, wholeTime 6204467
Lines checked 1094
Paths count 18116455
Colors used 8
