thisProcessorNumber 77 out of 120
line 1000, partTime 3712, wholeTime 3712
line 57000, partTime 48656, wholeTime 2806699
line 58000, partTime 46893, wholeTime 2853593
line 59000, partTime 54116, wholeTime 2907709
line 60000, partTime 76003, wholeTime 2983712
line 61000, partTime 8174, wholeTime 2991887
line 62000, partTime 24554, wholeTime 3016441
line 63000, partTime 41901, wholeTime 3058343
line 64000, partTime 42182, wholeTime 3100525
line 65000, partTime 53913, wholeTime 3154439
line 66000, partTime 87500, wholeTime 3241940
line 67000, partTime 3494, wholeTime 3245434
line 68000, partTime 12292, wholeTime 3257727
line 69000, partTime 37830, wholeTime 3295557
line 70000, partTime 12932, wholeTime 3308489
line 71000, partTime 11060, wholeTime 3319550
line 72000, partTime 20779, wholeTime 3340329
line 73000, partTime 2636, wholeTime 3342965
line 74000, partTime 60980, wholeTime 3403946
line 75000, partTime 269974, wholeTime 3673920
line 76000, partTime 117234, wholeTime 3791154
line 77000, partTime 97484, wholeTime 3888639
line 78000, partTime 157934, wholeTime 4046574
line 79000, partTime 48079, wholeTime 4094653
line 80000, partTime 66206, wholeTime 4160859
line 81000, partTime 130728, wholeTime 4291588
line 82000, partTime 33243, wholeTime 4324831
line 83000, partTime 49046, wholeTime 4373878
line 84000, partTime 76159, wholeTime 4450037
line 85000, partTime 49748, wholeTime 4499786
line 86000, partTime 33368, wholeTime 4533154
line 87000, partTime 33898, wholeTime 4567053
line 88000, partTime 114332, wholeTime 4681385
line 89000, partTime 28376, wholeTime 4709762
line 90000, partTime 36316, wholeTime 4746079
line 91000, partTime 115440, wholeTime 4861519
line 92000, partTime 27034, wholeTime 4888554
line 93000, partTime 12324, wholeTime 4900878
line 94000, partTime 65364, wholeTime 4966242
line 95000, partTime 21699, wholeTime 4987942
line 96000, partTime 11325, wholeTime 4999267
line 97000, partTime 17238, wholeTime 5016505
line 98000, partTime 46066, wholeTime 5062572
line 99000, partTime 3135, wholeTime 5065708
line 100000, partTime 3338, wholeTime 5069046
line 101000, partTime 136656, wholeTime 5205702
line 102000, partTime 80324, wholeTime 5286027
line 103000, partTime 83257, wholeTime 5369284
line 104000, partTime 52010, wholeTime 5421295
line 105000, partTime 123177, wholeTime 5544473
line 106000, partTime 24882, wholeTime 5569355
line 107000, partTime 30092, wholeTime 5599447
line 108000, partTime 22339, wholeTime 5621786
line 109000, partTime 48500, wholeTime 5670287
line 110000, partTime 19593, wholeTime 5689880
line 111000, partTime 22042, wholeTime 5711923
line 112000, partTime 58125, wholeTime 5770049
line 113000, partTime 32728, wholeTime 5802778
line 114000, partTime 2308, wholeTime 5805087
line 115000, partTime 5116, wholeTime 5810203
line 116000, partTime 37923, wholeTime 5848127
line 117000, partTime 22932, wholeTime 5871059
line 118000, partTime 20514, wholeTime 5891573
line 119000, partTime 27690, wholeTime 5919263
line 120000, partTime 45692, wholeTime 5964956
line 121000, partTime 37658, wholeTime 6002614
line 122000, partTime 3712, wholeTime 6006327
line 123000, partTime 3962, wholeTime 6010289
line 124000, partTime 14008, wholeTime 6024298
line 125000, partTime 14461, wholeTime 6038759
line 126000, partTime 3775, wholeTime 6042535
line 127000, partTime 3884, wholeTime 6046419
line 128000, partTime 8923, wholeTime 6055342
line 129000, partTime 4477, wholeTime 6059819
line 130000, partTime 249, wholeTime 6060069
line 131000, partTime 202, wholeTime 6060272
line 131328, partTime 31, wholeTime 6060303
Lines checked 1094
Paths count 17468393
Colors used 8
