thisProcessorNumber 106 out of 120
line 1000, partTime 1355, wholeTime 1355
line 80000, partTime 58914, wholeTime 4249979
line 81000, partTime 162383, wholeTime 4412362
line 82000, partTime 53054, wholeTime 4465417
line 83000, partTime 34463, wholeTime 4499881
line 84000, partTime 41488, wholeTime 4541370
line 85000, partTime 39492, wholeTime 4580863
line 86000, partTime 25425, wholeTime 4606288
line 87000, partTime 47313, wholeTime 4653602
line 88000, partTime 68186, wholeTime 4721789
line 89000, partTime 67936, wholeTime 4789725
line 90000, partTime 22697, wholeTime 4812423
line 91000, partTime 18517, wholeTime 4830941
line 92000, partTime 23144, wholeTime 4854085
line 93000, partTime 30732, wholeTime 4884817
line 94000, partTime 50780, wholeTime 4935598
line 95000, partTime 21397, wholeTime 4956996
line 96000, partTime 23836, wholeTime 4980832
line 97000, partTime 3121, wholeTime 4983954
line 98000, partTime 17429, wholeTime 5001383
line 99000, partTime 15366, wholeTime 5016750
line 100000, partTime 11809, wholeTime 5028560
line 101000, partTime 99105, wholeTime 5127665
line 102000, partTime 41409, wholeTime 5169075
line 103000, partTime 134918, wholeTime 5303993
line 104000, partTime 31129, wholeTime 5335122
line 105000, partTime 31165, wholeTime 5366287
line 106000, partTime 17362, wholeTime 5383650
line 107000, partTime 18209, wholeTime 5401859
line 108000, partTime 24189, wholeTime 5426049
line 109000, partTime 28220, wholeTime 5454270
line 110000, partTime 48636, wholeTime 5502906
line 111000, partTime 27829, wholeTime 5530735
line 112000, partTime 9508, wholeTime 5540244
line 113000, partTime 9631, wholeTime 5549876
line 114000, partTime 11963, wholeTime 5561840
line 115000, partTime 2603, wholeTime 5564443
line 116000, partTime 40553, wholeTime 5604997
line 117000, partTime 11974, wholeTime 5616971
line 118000, partTime 38340, wholeTime 5655312
line 119000, partTime 11934, wholeTime 5667247
line 120000, partTime 9504, wholeTime 5676752
line 121000, partTime 10143, wholeTime 5686895
line 122000, partTime 15026, wholeTime 5701922
line 123000, partTime 3162, wholeTime 5705085
line 124000, partTime 32426, wholeTime 5737511
line 125000, partTime 2139, wholeTime 5739650
line 126000, partTime 15144, wholeTime 5754794
line 127000, partTime 302, wholeTime 5755097
line 128000, partTime 402, wholeTime 5755500
line 129000, partTime 312, wholeTime 5755812
line 130000, partTime 818, wholeTime 5756630
line 131000, partTime 176, wholeTime 5756807
line 131328, partTime 56, wholeTime 5756863
Lines checked 1094
Paths count 15026347
Colors used 8
