thisProcessorNumber 111 out of 120
line 1000, partTime 2464, wholeTime 2464
line 70000, partTime 14086, wholeTime 3574075
line 71000, partTime 10639, wholeTime 3584714
line 72000, partTime 28563, wholeTime 3613278
line 73000, partTime 9984, wholeTime 3623262
line 74000, partTime 3026, wholeTime 3626288
line 75000, partTime 276276, wholeTime 3902565
line 76000, partTime 91135, wholeTime 3993700
line 77000, partTime 118154, wholeTime 4111855
line 78000, partTime 94645, wholeTime 4206500
line 79000, partTime 90464, wholeTime 4296965
line 80000, partTime 31714, wholeTime 4328680
line 81000, partTime 115518, wholeTime 4444198
line 82000, partTime 61698, wholeTime 4505896
line 83000, partTime 84988, wholeTime 4590885
line 84000, partTime 37018, wholeTime 4627904
line 85000, partTime 74880, wholeTime 4702784
line 86000, partTime 8580, wholeTime 4711364
line 87000, partTime 33976, wholeTime 4745341
line 88000, partTime 120447, wholeTime 4865788
line 89000, partTime 81541, wholeTime 4947330
line 90000, partTime 62696, wholeTime 5010026
line 91000, partTime 46550, wholeTime 5056577
line 92000, partTime 30544, wholeTime 5087122
line 93000, partTime 25568, wholeTime 5112690
line 94000, partTime 17316, wholeTime 5130006
line 95000, partTime 42042, wholeTime 5172048
line 96000, partTime 18907, wholeTime 5190955
line 97000, partTime 8065, wholeTime 5199021
line 98000, partTime 16239, wholeTime 5215260
line 99000, partTime 11528, wholeTime 5226789
line 100000, partTime 3385, wholeTime 5230174
line 101000, partTime 33727, wholeTime 5263901
line 102000, partTime 120401, wholeTime 5384302
line 103000, partTime 37845, wholeTime 5422148
line 104000, partTime 53742, wholeTime 5475890
line 105000, partTime 46815, wholeTime 5522706
line 106000, partTime 31480, wholeTime 5554186
line 107000, partTime 50528, wholeTime 5604715
line 108000, partTime 2293, wholeTime 5607008
line 109000, partTime 24601, wholeTime 5631609
line 110000, partTime 47502, wholeTime 5679111
line 111000, partTime 30747, wholeTime 5709859
line 112000, partTime 19047, wholeTime 5728907
line 113000, partTime 22495, wholeTime 5751402
line 114000, partTime 9921, wholeTime 5761324
line 115000, partTime 1575, wholeTime 5762899
line 116000, partTime 10342, wholeTime 5773242
line 117000, partTime 23743, wholeTime 5796985
line 118000, partTime 15022, wholeTime 5812008
line 119000, partTime 25724, wholeTime 5837733
line 120000, partTime 15225, wholeTime 5852958
line 121000, partTime 21153, wholeTime 5874112
line 122000, partTime 8049, wholeTime 5882161
line 123000, partTime 1092, wholeTime 5883253
line 124000, partTime 10202, wholeTime 5893456
line 125000, partTime 10218, wholeTime 5903674
line 126000, partTime 12480, wholeTime 5916154
line 127000, partTime 4695, wholeTime 5920849
line 128000, partTime 702, wholeTime 5921552
line 129000, partTime 5491, wholeTime 5927043
line 130000, partTime 312, wholeTime 5927355
line 131000, partTime 171, wholeTime 5927526
line 131328, partTime 62, wholeTime 5927589
Lines checked 1094
Paths count 19260312
Colors used 8
